,Destination City,January,February,March,April,May,June,July,August,September,October,November,December
5,"Amsterdam, Netherlands (2013)",89425.0,73576.0,104179.0,124295.0,155463.0,161462.0,148674.0,165006.0,146622.0,127654.0,96116.0,106061.0
16,"Amsterdam, Netherlands (2014)",92024.0,75205.0,103942.0,110880.0,142314.0,148705.0,132277.0,154280.0,150822.0,132861.0,100080.0,106302.0
27,"Amsterdam, Netherlands (2015)",92506.0,73814.0,102489.0,131397.0,158984.0,163851.0,148313.0,168319.0,161552.0,143006.0,94755.0,101573.0
38,"Amsterdam, Netherlands (2016)",90014.0,75229.0,110462.0,144508.0,161621.0,161598.0,147317.0,159403.0,152280.0,137474.0,98660.0,110715.0
49,"Amsterdam, Netherlands (2017)",93557.0,80137.0,118879.0,153882.0,177235.0,175705.0,159835.0,177119.0,168446.0,144774.0,110022.0,118295.0
0,"Cancun, Mexico (2013)",243338.0,260307.0,335126.0,257706.0,262654.0,275327.0,273851.0,235885.0,144330.0,175130.0,217408.0,273329.0
11,"Cancun, Mexico (2014)",271477.0,285503.0,356042.0,291932.0,290454.0,305770.0,322587.0,259315.0,157438.0,209693.0,259984.0,319556.0
22,"Cancun, Mexico (2015)",316600.0,323530.0,386224.0,345307.0,336096.0,363733.0,382935.0,320904.0,194409.0,243101.0,290648.0,368312.0
33,"Cancun, Mexico (2016)",339521.0,348946.0,442569.0,362755.0,345835.0,390589.0,418707.0,321024.0,205865.0,256341.0,299700.0,404399.0
44,"Cancun, Mexico (2017)",374970.0,376361.0,454131.0,412359.0,395394.0,441211.0,464742.0,358087.0,213731.0,258558.0,325195.0,438478.0
1,"London, United Kingdom (2013)",182396.0,141724.0,209516.0,230147.0,274723.0,294647.0,263591.0,285583.0,281885.0,227579.0,188430.0,217293.0
12,"London, United Kingdom (2014)",186203.0,139282.0,200812.0,237084.0,270168.0,289936.0,247413.0,277253.0,266087.0,222156.0,192910.0,216541.0
23,"London, United Kingdom (2015)",188121.0,144594.0,202117.0,228802.0,258456.0,292027.0,254378.0,281188.0,271873.0,237283.0,202424.0,220446.0
34,"London, United Kingdom (2016)",189854.0,144244.0,204878.0,231415.0,243036.0,291347.0,249647.0,264334.0,256168.0,220734.0,204035.0,234164.0
45,"London, United Kingdom (2017)",191733.0,146606.0,222280.0,263712.0,277105.0,317211.0,276798.0,304730.0,280871.0,234553.0,221948.0,261824.0
4,"Mexico City, Mexico (2013)",117427.0,99873.0,109929.0,107235.0,110923.0,128979.0,147190.0,138723.0,105585.0,118660.0,127072.0,158832.0
15,"Mexico City, Mexico (2014)",123337.0,101603.0,116411.0,113027.0,115908.0,132531.0,149081.0,139030.0,109709.0,119779.0,123914.0,157387.0
26,"Mexico City, Mexico (2015)",119231.0,96922.0,112165.0,114496.0,115823.0,133074.0,150671.0,141812.0,115518.0,138526.0,147121.0,181158.0
37,"Mexico City, Mexico (2016)",146113.0,126459.0,141500.0,122441.0,133772.0,150746.0,165497.0,151070.0,129219.0,143185.0,144939.0,173563.0
48,"Mexico City, Mexico (2017)",137575.0,112882.0,127326.0,126674.0,138582.0,160212.0,167085.0,151459.0,114546.0,141947.0,156762.0,196246.0
10,"Montego Bay, Jamaica (2013)",71698.0,72542.0,101098.0,87603.0,87729.0,106323.0,115152.0,93774.0,51952.0,63831.0,74637.0,96484.0
21,"Montego Bay, Jamaica (2014)",74116.0,75288.0,99410.0,91908.0,93346.0,109917.0,123067.0,101392.0,55935.0,68958.0,84053.0,106301.0
32,"Montego Bay, Jamaica (2015)",84232.0,85084.0,105411.0,99381.0,95352.0,111583.0,125384.0,102137.0,63765.0,72864.0,84431.0,115982.0
43,"Montego Bay, Jamaica (2016)",95625.0,94428.0,119106.0,103710.0,96931.0,118668.0,135206.0,107383.0,69305.0,73704.0,87250.0,123056.0
54,"Montego Bay, Jamaica (2017)",96760.0,93629.0,110092.0,109985.0,105062.0,127922.0,147461.0,122881.0,73989.0,84090.0,101190.0,135764.0
6,"Paris, France (2013)",76687.0,65649.0,96798.0,97074.0,128212.0,139954.0,127710.0,137910.0,138758.0,119145.0,89191.0,104106.0
17,"Paris, France (2014)",84427.0,65629.0,104760.0,119432.0,144715.0,151090.0,138374.0,147566.0,137011.0,117379.0,87982.0,106690.0
28,"Paris, France (2015)",82658.0,65714.0,106026.0,118400.0,150933.0,160326.0,143990.0,150801.0,143312.0,126498.0,94887.0,112073.0
39,"Paris, France (2016)",86934.0,67533.0,111262.0,126142.0,152090.0,158406.0,144014.0,145230.0,137918.0,114785.0,90456.0,111718.0
50,"Paris, France (2017)",86625.0,72357.0,106772.0,133668.0,153110.0,166311.0,148773.0,162296.0,145778.0,117493.0,95784.0,111485.0
7,"Punta Cana, Dominican Republic (2013)",68028.0,71458.0,96041.0,78342.0,80952.0,111167.0,125226.0,88408.0,44595.0,49204.0,68727.0,84450.0
18,"Punta Cana, Dominican Republic (2014)",78653.0,87483.0,115090.0,99988.0,110918.0,129194.0,145574.0,107110.0,56827.0,62873.0,79192.0,99632.0
29,"Punta Cana, Dominican Republic (2015)",94145.0,107018.0,134445.0,119816.0,122421.0,151613.0,170379.0,119327.0,65623.0,72579.0,87686.0,116986.0
40,"Punta Cana, Dominican Republic (2016)",101076.0,114398.0,146171.0,126757.0,130943.0,163933.0,203001.0,134192.0,69750.0,75242.0,87706.0,118774.0
51,"Punta Cana, Dominican Republic (2017)",107271.0,115146.0,145582.0,139038.0,137780.0,175194.0,205098.0,135314.0,52596.0,72191.0,91387.0,124104.0
9,"San Jose del Cabo, Mexico (2013)",73238.0,85780.0,119661.0,90928.0,86924.0,101311.0,102849.0,85178.0,54455.0,82090.0,91784.0,97456.0
20,"San Jose del Cabo, Mexico (2014)",85642.0,99985.0,133953.0,110336.0,103055.0,116781.0,115135.0,92535.0,24962.0,19285.0,62816.0,87495.0
31,"San Jose del Cabo, Mexico (2015)",79523.0,86995.0,116673.0,100194.0,97903.0,109427.0,111555.0,88127.0,58568.0,92174.0,102447.0,114103.0
42,"San Jose del Cabo, Mexico (2016)",100369.0,106407.0,137366.0,114901.0,104269.0,122376.0,126829.0,92968.0,63823.0,99175.0,105677.0,138391.0
53,"San Jose del Cabo, Mexico (2017)",117355.0,125479.0,161758.0,139176.0,126672.0,151074.0,157068.0,110888.0,63400.0,105647.0,119757.0,145972.0
2,"Tokyo, Japan (2013)",210495.0,202885.0,234854.0,181580.0,221660.0,238510.0,225707.0,248870.0,221712.0,215738.0,199522.0,210701.0
13,"Tokyo, Japan (2014)",207282.0,183720.0,228642.0,171295.0,207734.0,221041.0,208181.0,236415.0,215623.0,205958.0,191586.0,196364.0
24,"Tokyo, Japan (2015)",194425.0,181901.0,224977.0,166464.0,209733.0,218259.0,207388.0,224359.0,208463.0,202783.0,184822.0,195204.0
35,"Tokyo, Japan (2016)",187259.0,181669.0,218102.0,160618.0,204508.0,218294.0,200928.0,224132.0,215808.0,201566.0,182397.0,198514.0
46,"Tokyo, Japan (2017)",189200.0,172326.0,221174.0,171806.0,200787.0,208610.0,198150.0,216052.0,196343.0,191664.0,185725.0,187189.0
3,"Toronto, Canada (2013)",129769.0,114373.0,145755.0,135732.0,147946.0,141979.0,150384.0,168596.0,139784.0,139160.0,119765.0,118108.0
14,"Toronto, Canada (2014)",111440.0,110806.0,141780.0,135353.0,150955.0,148785.0,152675.0,159494.0,144728.0,139885.0,121635.0,120946.0
25,"Toronto, Canada (2015)",114040.0,109174.0,135736.0,131468.0,145960.0,138528.0,148167.0,157259.0,145360.0,142723.0,125891.0,115886.0
36,"Toronto, Canada (2016)",112824.0,113504.0,129763.0,125369.0,141088.0,139626.0,149192.0,153925.0,147355.0,142414.0,125478.0,108341.0
47,"Toronto, Canada (2017)",116636.0,105329.0,133350.0,133094.0,148327.0,147156.0,142842.0,152768.0,142233.0,152136.0,132254.0,121007.0
