DEST_CITY_NAME,YEAR,DEST_COUNTRY,YEARLY_TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
"Amsterdam, Netherlands",2013,NL,1498533,89425,73576,104179,124295,155463,161462,148674,165006,146622,127654,96116,106061
"Amsterdam, Netherlands",2014,NL,1449692,92024,75205,103942,110880,142314,148705,132277,154280,150822,132861,100080,106302
"Amsterdam, Netherlands",2015,NL,1540559,92506,73814,102489,131397,158984,163851,148313,168319,161552,143006,94755,101573
"Amsterdam, Netherlands",2016,NL,1549281,90014,75229,110462,144508,161621,161598,147317,159403,152280,137474,98660,110715
"Amsterdam, Netherlands",2017,NL,1677886,93557,80137,118879,153882,177235,175705,159835,177119,168446,144774,110022,118295
"Cancun, Mexico",2013,MX,2954391,243338,260307,335126,257706,262654,275327,273851,235885,144330,175130,217408,273329
"Cancun, Mexico",2014,MX,3329751,271477,285503,356042,291932,290454,305770,322587,259315,157438,209693,259984,319556
"Cancun, Mexico",2015,MX,3871799,316600,323530,386224,345307,336096,363733,382935,320904,194409,243101,290648,368312
"Cancun, Mexico",2016,MX,4136251,339521,348946,442569,362755,345835,390589,418707,321024,205865,256341,299700,404399
"Cancun, Mexico",2017,MX,4513217,374970,376361,454131,412359,395394,441211,464742,358087,213731,258558,325195,438478
"London, United Kingdom",2013,GB,2797514,182396,141724,209516,230147,274723,294647,263591,285583,281885,227579,188430,217293
"London, United Kingdom",2014,GB,2745845,186203,139282,200812,237084,270168,289936,247413,277253,266087,222156,192910,216541
"London, United Kingdom",2015,GB,2781709,188121,144594,202117,228802,258456,292027,254378,281188,271873,237283,202424,220446
"London, United Kingdom",2016,GB,2733856,189854,144244,204878,231415,243036,291347,249647,264334,256168,220734,204035,234164
"London, United Kingdom",2017,GB,2999371,191733,146606,222280,263712,277105,317211,276798,304730,280871,234553,221948,261824
"Mexico City, Mexico",2013,MX,1470428,117427,99873,109929,107235,110923,128979,147190,138723,105585,118660,127072,158832
"Mexico City, Mexico",2014,MX,1501717,123337,101603,116411,113027,115908,132531,149081,139030,109709,119779,123914,157387
"Mexico City, Mexico",2015,MX,1566517,119231,96922,112165,114496,115823,133074,150671,141812,115518,138526,147121,181158
"Mexico City, Mexico",2016,MX,1728504,146113,126459,141500,122441,133772,150746,165497,151070,129219,143185,144939,173563
"Mexico City, Mexico",2017,MX,1731296,137575,112882,127326,126674,138582,160212,167085,151459,114546,141947,156762,196246
"Paris, France",2013,FR,1321194,76687,65649,96798,97074,128212,139954,127710,137910,138758,119145,89191,104106
"Paris, France",2014,FR,1405055,84427,65629,104760,119432,144715,151090,138374,147566,137011,117379,87982,106690
"Paris, France",2015,FR,1455618,82658,65714,106026,118400,150933,160326,143990,150801,143312,126498,94887,112073
"Paris, France",2016,FR,1446488,86934,67533,111262,126142,152090,158406,144014,145230,137918,114785,90456,111718
"Paris, France",2017,FR,1500452,86625,72357,106772,133668,153110,166311,148773,162296,145778,117493,95784,111485
"Punta Cana, Dominican Republic",2013,DO,966598,68028,71458,96041,78342,80952,111167,125226,88408,44595,49204,68727,84450
"Punta Cana, Dominican Republic",2014,DO,1172534,78653,87483,115090,99988,110918,129194,145574,107110,56827,62873,79192,99632
"Punta Cana, Dominican Republic",2015,DO,1362038,94145,107018,134445,119816,122421,151613,170379,119327,65623,72579,87686,116986
"Punta Cana, Dominican Republic",2016,DO,1471943,101076,114398,146171,126757,130943,163933,203001,134192,69750,75242,87706,118774
"Punta Cana, Dominican Republic",2017,DO,1500701,107271,115146,145582,139038,137780,175194,205098,135314,52596,72191,91387,124104
"San Jose del Cabo, Mexico",2013,MX,1071654,73238,85780,119661,90928,86924,101311,102849,85178,54455,82090,91784,97456
"San Jose del Cabo, Mexico",2014,MX,1051980,85642,99985,133953,110336,103055,116781,115135,92535,24962,19285,62816,87495
"San Jose del Cabo, Mexico",2015,MX,1157689,79523,86995,116673,100194,97903,109427,111555,88127,58568,92174,102447,114103
"San Jose del Cabo, Mexico",2016,MX,1312551,100369,106407,137366,114901,104269,122376,126829,92968,63823,99175,105677,138391
"San Jose del Cabo, Mexico",2017,MX,1524246,117355,125479,161758,139176,126672,151074,157068,110888,63400,105647,119757,145972
"Tokyo, Japan",2013,JP,2612234,210495,202885,234854,181580,221660,238510,225707,248870,221712,215738,199522,210701
"Tokyo, Japan",2014,JP,2473841,207282,183720,228642,171295,207734,221041,208181,236415,215623,205958,191586,196364
"Tokyo, Japan",2015,JP,2418778,194425,181901,224977,166464,209733,218259,207388,224359,208463,202783,184822,195204
"Tokyo, Japan",2016,JP,2393795,187259,181669,218102,160618,204508,218294,200928,224132,215808,201566,182397,198514
"Tokyo, Japan",2017,JP,2339026,189200,172326,221174,171806,200787,208610,198150,216052,196343,191664,185725,187189
"Toronto, Canada",2013,CA,1651351,129769,114373,145755,135732,147946,141979,150384,168596,139784,139160,119765,118108
"Toronto, Canada",2014,CA,1638482,111440,110806,141780,135353,150955,148785,152675,159494,144728,139885,121635,120946
"Toronto, Canada",2015,CA,1610192,114040,109174,135736,131468,145960,138528,148167,157259,145360,142723,125891,115886
"Toronto, Canada",2016,CA,1588879,112824,113504,129763,125369,141088,139626,149192,153925,147355,142414,125478,108341
"Toronto, Canada",2017,CA,1627132,116636,105329,133350,133094,148327,147156,142842,152768,142233,152136,132254,121007
"Vancouver, Canada",2013,CA,1114187,73993,69637,80763,76596,99378,120500,134594,137460,97358,76110,68394,79404
"Vancouver, Canada",2014,CA,1222692,79748,77194,92039,84624,107407,130653,142649,147179,101825,87227,82579,89568
"Vancouver, Canada",2015,CA,1242618,87500,79259,95907,88984,115904,131054,143566,144347,106747,88646,76687,84017
"Vancouver, Canada",2016,CA,1226928,84542,84384,96750,90753,119813,130399,141990,136952,106974,84202,67816,82353
"Vancouver, Canada",2017,CA,1236329,77240,71863,93083,84449,120299,136038,147976,145976,107338,91541,74923,85603
