Destination City,"Cancun, Mexico (2015)","London, United Kingdom (2015)","Tokyo, Japan (2015)","Toronto, Canada (2015)","Mexico City, Mexico (2015)","Amsterdam, Netherlands (2015)","Paris, France (2015)","Punta Cana, Dominican Republic (2015)","Vancouver, Canada (2015)","San Jose del Cabo, Mexico (2015)","Montego Bay, Jamaica (2015)"
1,316600.0,188121.0,194425.0,114040.0,119231.0,92506.0,82658.0,94145.0,87500.0,79523.0,84232.0
2,323530.0,144594.0,181901.0,109174.0,96922.0,73814.0,65714.0,107018.0,79259.0,86995.0,85084.0
3,386224.0,202117.0,224977.0,135736.0,112165.0,102489.0,106026.0,134445.0,95907.0,116673.0,105411.0
4,345307.0,228802.0,166464.0,131468.0,114496.0,131397.0,118400.0,119816.0,88984.0,100194.0,99381.0
5,336096.0,258456.0,209733.0,145960.0,115823.0,158984.0,150933.0,122421.0,115904.0,97903.0,95352.0
6,363733.0,292027.0,218259.0,138528.0,133074.0,163851.0,160326.0,151613.0,131054.0,109427.0,111583.0
7,382935.0,254378.0,207388.0,148167.0,150671.0,148313.0,143990.0,170379.0,143566.0,111555.0,125384.0
8,320904.0,281188.0,224359.0,157259.0,141812.0,168319.0,150801.0,119327.0,144347.0,88127.0,102137.0
9,194409.0,271873.0,208463.0,145360.0,115518.0,161552.0,143312.0,65623.0,106747.0,58568.0,63765.0
10,243101.0,237283.0,202783.0,142723.0,138526.0,143006.0,126498.0,72579.0,88646.0,92174.0,72864.0
11,290648.0,202424.0,184822.0,125891.0,147121.0,94755.0,94887.0,87686.0,76687.0,102447.0,84431.0
12,368312.0,220446.0,195204.0,115886.0,181158.0,101573.0,112073.0,116986.0,84017.0,114103.0,115982.0
